응답ID,부서,직급,근속연수,전체만족도,워라밸,관리자역량,성장기회,보상만족도,근무형태선호,교육만족도,추천의향,주요의견
R001,개발팀,시니어,3,8,7,8,6,7,하이브리드,8,9,경력개발
R002,마케팅팀,주니어,1,7,8,7,8,6,재택,7,8,근무환경
R003,영업팀,시니어,5,9,6,9,7,8,하이브리드,9,10,관리자
R004,인사팀,매니저,7,8,8,8,8,8,출근,8,9,복리후생
R005,재무팀,주니어,2,6,7,6,5,7,재택,6,7,보상
R006,개발팀,주니어,1,9,9,8,9,7,재택,9,10,근무환경
R007,마케팅팀,매니저,4,7,7,7,6,8,하이브리드,7,8,경력개발
R008,영업팀,시니어,6,8,5,8,7,9,출근,8,8,보상
R009,IT팀,시니어,4,9,8,9,8,8,하이브리드,9,9,기술환경
R010,고객서비스팀,주니어,2,6,8,6,5,6,재택,6,6,관리자
R011,개발팀,매니저,8,8,7,8,7,9,하이브리드,8,9,근무환경
R012,마케팅팀,시니어,3,7,9,7,7,7,재택,7,8,워라밸
R013,영업팀,주니어,1,8,8,8,8,6,하이브리드,8,9,교육
R014,재무팀,매니저,5,7,6,7,6,8,출근,7,7,업무프로세스
R015,인사팀,시니어,4,9,8,9,8,8,하이브리드,9,10,복리후생
R016,개발팀,주니어,1,8,9,7,9,6,재택,8,9,기술환경
R017,IT팀,매니저,6,8,7,8,7,9,하이브리드,8,8,관리자
R018,고객서비스팀,시니어,3,7,8,7,6,7,재택,7,7,근무환경
R019,마케팅팀,주니어,2,9,9,8,8,7,재택,9,10,워라밸
R020,영업팀,매니저,7,8,6,8,7,9,출근,8,9,보상
R021,개발팀,시니어,4,7,8,7,6,8,하이브리드,7,8,경력개발
R022,재무팀,주니어,1,8,8,8,8,7,재택,8,8,교육
R023,인사팀,매니저,5,9,8,9,8,9,하이브리드,9,10,복리후생
R024,IT팀,시니어,3,8,7,8,7,8,하이브리드,8,8,기술환경
R025,고객서비스팀,주니어,2,6,7,6,5,6,재택,6,6,관리자
R026,마케팅팀,시니어,4,8,8,8,7,8,하이브리드,8,9,근무환경
R027,영업팀,주니어,1,9,9,8,9,7,재택,9,10,워라밸
R028,개발팀,매니저,9,7,6,7,6,9,출근,7,7,업무프로세스
R029,재무팀,시니어,3,8,7,8,7,8,하이브리드,8,8,경력개발
R030,IT팀,주니어,1,9,9,8,9,7,재택,9,10,기술환경
R031,개발팀,주니어,2,8,8,7,8,6,재택,8,8,성장기회
R032,마케팅팀,매니저,5,7,7,8,6,7,하이브리드,7,7,예산
R033,영업팀,시니어,4,8,5,8,7,9,출근,8,8,인센티브
R034,고객서비스팀,매니저,6,7,7,7,6,7,하이브리드,7,7,업무량
R035,IT팀,주니어,2,9,8,9,8,7,재택,9,9,기술스택
R036,개발팀,시니어,5,8,7,8,7,8,하이브리드,8,8,코드리뷰
R037,재무팀,매니저,4,7,6,7,6,8,출근,7,7,마감압박
R038,인사팀,주니어,1,8,8,9,8,7,재택,8,9,온보딩
R039,마케팅팀,주니어,1,8,9,7,8,6,재택,8,9,창의성
R040,영업팀,주니어,2,7,7,7,7,6,하이브리드,7,7,목표압박
R041,고객서비스팀,시니어,4,7,8,7,6,7,재택,7,7,고객응대
R042,IT팀,매니저,5,8,7,8,7,8,하이브리드,8,8,인프라
R043,개발팀,주니어,1,9,9,8,9,6,재택,9,10,성장기회
R044,재무팀,시니어,6,7,6,7,6,8,출근,7,7,결산
R045,인사팀,시니어,3,8,8,8,8,8,하이브리드,8,9,채용
R046,마케팅팀,시니어,3,8,8,8,7,7,하이브리드,8,8,브랜딩
R047,영업팀,매니저,5,8,5,8,7,9,출근,8,8,실적압박
R048,고객서비스팀,주니어,1,6,8,6,5,5,재택,6,6,스트레스
R049,IT팀,시니어,4,8,7,9,8,8,하이브리드,8,9,보안
R050,개발팀,매니저,6,8,7,8,7,8,하이브리드,8,8,팀관리
