제품ID,제품명,카테고리,현재고,재주문기준,최대재고,원가,판매가,공급업체,최근입고일,30일판매량,30일매출,재고상태
INV001,프리미엄 세트,전자제품,45,20,100,89000,149000,테크서플라이,2025-06-10,67,9983000,정상
INV002,베이직 세트,전자제품,15,25,75,29000,49000,테크서플라이,2025-06-08,89,4361000,재고부족
INV003,디럭스 세트,전자제품,32,15,50,199000,299000,프리미엄파츠,2025-06-26,43,12857000,정상
INV004,사무용 의자 디럭스,가구,8,10,30,149000,249000,컴포트시팅,2025-05-27,12,2988000,재고부족
INV005,스탠딩 데스크,가구,22,5,25,299000,499000,인체공학솔루션,2025-06-05,18,8982000,정상
INV006,노트북 스탠드,악세서리,67,30,100,19000,39000,악세서리허브,2025-06-22,156,6084000,정상
INV007,무선 마우스,전자제품,3,15,60,24000,44000,테크서플라이,2025-06-07,78,3432000,긴급
INV008,블루투스 키보드,전자제품,28,20,80,49000,89000,테크서플라이,2025-06-17,34,3026000,정상
INV009,24인치 모니터,전자제품,12,8,35,199000,349000,디스플레이테크,2025-06-30,23,8027000,정상
INV010,USB 허브,악세서리,89,40,150,14000,29000,악세서리허브,2025-06-25,145,4205000,정상
INV011,LED 데스크램프,조명,6,12,40,39000,69000,라이팅솔루션,2025-05-07,34,2346000,재고부족
INV012,사무실 화분,인테리어,25,8,30,12000,24000,그린스페이스,2025-05-21,67,1608000,정상
INV013,케이블 정리함,악세서리,145,50,200,4000,12000,악세서리허브,2025-06-04,234,2808000,정상
INV014,인체공학 쿠션,악세서리,34,15,60,29000,54000,컴포트시팅,2025-05-26,45,2430000,정상
INV015,소형 화이트보드,사무용품,2,10,25,49000,89000,오피스맥스,2025-05-10,18,1602000,긴급
INV016,마커 세트,사무용품,78,25,100,8000,16000,오피스맥스,2025-06-12,89,1424000,정상
INV017,프리미엄 노트,사무용품,124,40,180,5000,12000,페이퍼웍스,2025-06-06,267,3204000,정상
INV018,이그제큐티브 펜 세트,사무용품,45,20,80,19000,39000,페이퍼웍스,2025-05-05,56,2184000,정상
INV019,공학용 계산기,전자제품,19,15,50,34000,64000,테크서플라이,2025-05-28,28,1792000,정상
INV020,복사용지,사무용품,0,30,120,12000,22000,페이퍼웍스,2025-06-02,145,3190000,품절
INV021,대형 스테이플러,사무용품,67,25,100,24000,44000,오피스맥스,2025-05-02,89,3916000,정상
INV022,펀치기,사무용품,43,20,75,14000,27000,오피스맥스,2025-05-01,67,1809000,정상
INV023,파일폴더,사무용품,234,100,400,2000,6000,페이퍼웍스,2025-05-28,456,2736000,정상
INV024,3인치 바인더,사무용품,56,30,120,7000,15000,페이퍼웍스,2025-05-31,123,1845000,정상
INV025,개인용 파쇄기,전자제품,4,8,20,99000,179000,시큐어오피스,2025-06-02,12,2148000,재고부족
INV026,27인치 모니터,전자제품,18,10,30,249000,449000,디스플레이테크,2025-06-15,15,6735000,정상
INV027,웹캠 HD,전자제품,42,25,80,29000,59000,테크서플라이,2025-06-20,38,2242000,정상
INV028,헤드셋,전자제품,5,15,50,39000,79000,오디오프로,2025-06-01,45,3555000,긴급
INV029,회의실 의자,가구,35,15,50,89000,149000,컴포트시팅,2025-06-18,22,3278000,정상
INV030,파티션,가구,12,5,20,149000,249000,오피스디자인,2025-05-15,8,1992000,정상
INV031,책상 정리대,악세서리,88,35,120,15000,29000,악세서리허브,2025-06-10,67,1943000,정상
INV032,모니터 암,악세서리,23,20,60,49000,89000,인체공학솔루션,2025-06-05,28,2492000,정상
INV033,에어컨 필터,소모품,0,20,80,8000,15000,클린에어,2025-05-20,56,840000,품절
INV034,커피머신 캡슐,소모품,120,50,200,500,1200,카페서플라이,2025-06-25,180,216000,정상
INV035,정수기 필터,소모품,8,15,40,25000,45000,워터프로,2025-05-28,18,810000,재고부족
INV036,프린터 토너,소모품,3,10,30,45000,89000,프린트솔루션,2025-06-10,22,1958000,긴급
INV037,A4 컬러용지,사무용품,45,30,100,15000,28000,페이퍼웍스,2025-06-08,35,980000,정상
INV038,명함 케이스,악세서리,67,25,100,5000,12000,악세서리허브,2025-05-30,42,504000,정상
INV039,데스크 매트,악세서리,38,20,60,12000,25000,오피스디자인,2025-06-12,29,725000,정상
INV040,미니 선풍기,전자제품,15,20,50,19000,35000,테크서플라이,2025-06-01,48,1680000,재고부족
