날짜,제품,고객사,지역,수량,단가,총매출,영업담당,고객유형
2025-04-01,프리미엄 세트,에이비씨 주식회사,서울,25,149000,3725000,김영희,대기업
2025-04-01,베이직 세트,스몰비즈,부산,10,49000,490000,이철수,중소기업
2025-04-01,디럭스 세트,테크솔루션,경기,15,299000,4485000,김영희,대기업
2025-04-02,프리미엄 세트,로컬스토어,서울,5,149000,745000,박민수,중소기업
2025-04-02,베이직 세트,그린테크,경기,8,49000,392000,정수진,중소기업
2025-04-03,디럭스 세트,메가코프,서울,20,299000,5980000,김영희,대기업
2025-04-03,프리미엄 세트,부산상사,부산,12,149000,1788000,이철수,중소기업
2025-04-04,베이직 세트,스타트업코리아,경기,20,49000,980000,정수진,중소기업
2025-04-04,프리미엄 세트,서울오피스,서울,18,149000,2682000,박민수,대기업
2025-04-05,디럭스 세트,인천물류,경기,7,299000,2093000,정수진,중소기업
2025-04-07,디럭스 세트,에이비씨 주식회사,서울,8,299000,2392000,김영희,대기업
2025-04-07,베이직 세트,대전솔루션,부산,15,49000,735000,이철수,중소기업
2025-04-08,프리미엄 세트,강남테크,서울,22,149000,3278000,김영희,대기업
2025-04-09,프리미엄 세트,리저널체인,부산,30,149000,4470000,이철수,대기업
2025-04-09,베이직 세트,수원디지털,경기,12,49000,588000,정수진,중소기업
2025-04-10,디럭스 세트,서초엔터프라이즈,서울,10,299000,2990000,박민수,대기업
2025-04-11,베이직 세트,동네마트,부산,3,49000,147000,이철수,중소기업
2025-04-11,프리미엄 세트,경기산업,경기,16,149000,2384000,정수진,대기업
2025-04-12,디럭스 세트,한양물산,서울,9,299000,2691000,김영희,대기업
2025-04-14,디럭스 세트,테크이노베이터,경기,12,299000,3588000,정수진,대기업
2025-04-14,베이직 세트,부산마트,부산,8,49000,392000,이철수,중소기업
2025-04-15,프리미엄 세트,강동오피스,서울,14,149000,2086000,박민수,중소기업
2025-04-16,베이직 세트,일산테크,경기,25,49000,1225000,정수진,중소기업
2025-04-17,프리미엄 세트,오피스서플라이,서울,18,149000,2682000,박민수,대기업
2025-04-17,디럭스 세트,해운대상사,부산,6,299000,1794000,이철수,중소기업
2025-04-18,프리미엄 세트,분당IT,경기,20,149000,2980000,정수진,대기업
2025-04-19,베이직 세트,코너스토어,서울,7,49000,343000,박민수,중소기업
2025-04-21,디럭스 세트,디지털에이전시,경기,6,299000,1794000,정수진,중소기업
2025-04-21,프리미엄 세트,종로상사,서울,11,149000,1639000,김영희,중소기업
2025-04-22,베이직 세트,김해물류,부산,18,49000,882000,이철수,중소기업
2025-04-23,디럭스 세트,판교테크,경기,15,299000,4485000,정수진,대기업
2025-04-24,프리미엄 세트,제조산업,부산,40,149000,5960000,이철수,대기업
2025-04-24,베이직 세트,마포오피스,서울,10,49000,490000,박민수,중소기업
2025-04-25,프리미엄 세트,안양산업,경기,13,149000,1937000,정수진,중소기업
2025-04-27,베이직 세트,유통체인,부산,25,49000,1225000,이철수,대기업
2025-04-28,디럭스 세트,강서물류,서울,8,299000,2392000,김영희,중소기업
2025-04-29,디럭스 세트,컨설팅펌,서울,9,299000,2691000,김영희,대기업
2025-04-29,프리미엄 세트,광명테크,경기,7,149000,1043000,정수진,중소기업
2025-04-30,베이직 세트,사하물산,부산,14,49000,686000,이철수,중소기업
2025-04-30,프리미엄 세트,영등포상사,서울,19,149000,2831000,박민수,대기업
2025-05-02,프리미엄 세트,에이비씨 주식회사,서울,20,149000,2980000,김영희,대기업
2025-05-02,베이직 세트,화성산업,경기,16,49000,784000,정수진,중소기업
2025-05-03,디럭스 세트,강남테크,서울,12,299000,3588000,김영희,대기업
2025-05-05,베이직 세트,스몰비즈,부산,15,49000,735000,이철수,중소기업
2025-05-05,프리미엄 세트,성남IT,경기,9,149000,1341000,정수진,중소기업
2025-05-06,디럭스 세트,서초엔터프라이즈,서울,7,299000,2093000,박민수,대기업
2025-05-07,프리미엄 세트,양산물류,부산,11,149000,1639000,이철수,중소기업
2025-05-08,디럭스 세트,테크솔루션,경기,18,299000,5382000,정수진,대기업
2025-05-08,베이직 세트,용산상사,서울,8,49000,392000,박민수,중소기업
2025-05-09,프리미엄 세트,메가코프,서울,15,149000,2235000,김영희,대기업
2025-05-10,프리미엄 세트,로컬스토어,서울,8,149000,1192000,박민수,중소기업
2025-05-10,베이직 세트,거제산업,부산,20,49000,980000,이철수,중소기업
2025-05-12,베이직 세트,스타트업코리아,경기,30,49000,1470000,정수진,중소기업
